css_teqxyv,css_qoniep_innerNode
Apple,AAPL
Microsoft,MSFT
Tesla,TSLA
Ford Motor,F
GE,GE
American Airlines,AAL
Disney,DIS
Delta Air Lines,DAL
Amazon,AMZN
Carnival,CCL
GoPro,GPRO
Aurora Cannabis,ACB
Plug Power,PLUG
Bank of America,BAC
Norwegian Cruise Line,NCLH
NIO,NIO
Snap,SNAP
Fitbit,FIT
Boeing,BA
Moderna,MRNA
United Airlines,UAL
Facebook,FB
AMD,AMD
Alibaba,BABA
Netflix,NFLX
NVIDIA,NVDA
Uber,UBER
Canopy Growth,CGC
AT&T,T
Twitter,TWTR
Nikola,NKLA
Coca-Cola,KO
Cronos Group,CRON
Aphria,APHA
Zynga,ZNGA
Royal Caribbean Group,RCL
Starbucks,SBUX
Southwest Airlines,LUV
Pfizer,PFE
Inovio,INO
Spirit Airlines,SAVE
Marathon Oil,MRO
JetBlue Airways,JBLU
AMC Entertainment,AMC
Exxon Mobil,XOM
Walmart,WMT
Workhorse,WKHS
MGM Resorts,MGM
Virgin Galactic Holdings,SPCE
Vanguard S&P 500 ETF,VOO
Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,GUSH
SPDR S&P 500 ETF,SPY
GM,GM
Draftkings,DKNG
MFA Financial,MFA
Sony,SNE
Sirius XM,SIRI
United States Oil Fund,USO
Square,SQ
Invesco Mortgage Capital,IVR
Nokia,NOK
ProShares Ultra Bloomberg Crude Oil ETF,UCO
Catalyst Pharmaceuticals,CPRX
Alphabet Class A,GOOGL
Slack,WORK
Zoom,ZM
Peloton Interactive,PTON
Penn National Gaming,PENN
Nike,NKE
New Residential Investment,NRZ
Intel,INTC
Visa,V
Prospect Capital,PSEC
Berkshire Hathaway,BRK.B
Tilray,TLRY
Vivint Solar,VSLR
Rocket Companies,RKT
Wells Fargo,WFC
Johnson & Johnson,JNJ
Lyft,LYFT
PowerShares S&P 500 High Dividend Low Volatility ETF,SPHD
Kodak,KODK
iBio,IBIO
JPMorgan Chase,JPM
Kosmos Energy,KOS
Dave & Buster's,PLAY
PayPal,PYPL
FuelCell Energy,FCEL
Sorrento Therapeutics,SRNE
TherapeuticsMD,TXMD
Energy Transfer,ET
Halliburton,HAL
Gilead Sciences,GILD
Nintendo,NTDOY
Novavax,NVAX
British Petroleum,BP
Beyond Meat,BYND
Vanguard Total Stock Market ETF,VTI
AstraZeneca,AZN
Gap,GPS
